PassengerId,Survived
2,1
4,1
7,1
11,1
12,0
22,1
24,1
28,1
53,1
55,0
63,1
67,1
76,1
89,1
93,1
97,0
98,1
103,1
111,1
119,1
124,1
125,1
137,1
138,1
140,1
149,1
152,1
171,0
175,1
178,1
184,1
194,1
195,1
196,1
206,1
210,1
216,1
219,1
225,1
231,1
246,1
249,1
252,1
253,0
258,1
263,1
264,1
269,1
270,1
274,1
276,1
292,1
293,1
298,1
300,1
306,1
308,1
310,1
311,1
312,1
319,1
320,1
326,1
328,1
330,1
332,1
333,1
337,1
338,1
340,1
341,1
342,1
346,1
357,1
367,1
370,1
371,1
378,1
391,1
394,1
395,1
413,1
430,1
431,1
435,1
436,1
439,1
446,1
450,0
453,1
454,1
457,0
461,1
463,1
474,1
485,1
487,1
488,1
493,0
497,1
499,1
505,1
506,1
513,1
516,1
517,1
521,1
524,1
537,1
540,1
541,1
545,1
551,1
557,1
559,1
572,1
573,1
578,1
582,1
584,1
586,1
588,1
592,1
600,1
610,1
619,1
622,1
626,0
628,1
631,0
633,1
642,1
646,1
648,1
660,1
663,1
672,1
680,1
682,1
690,1
691,1
699,1
700,0
701,1
702,1
708,1
711,1
713,1
716,1
717,1
718,1
725,1
731,1
738,1
742,1
743,1
746,0
749,1
752,1
760,1
764,1
766,1
773,0
780,1
782,1
783,1
790,1
797,1
803,1
807,1
810,1
821,1
824,1
836,1
854,1
858,1
863,1
868,1
872,1
873,1
880,1
888,1
890,1
